DEPT,AHT10,AHT20,AHT30,AHT60,AHT90,AHTCO60,AHTCO90,DPHZ,DSOZ,DT,GR,HAZI,HCAL,HDRA,HMIN,HMNO,HTEM,ITT,NPOR,PEFZ,RSOZ,RXOZ,SDEV,SP,SPHI,RHOZ,TOP
3151,26.0195,25.0001,24.7519,23.5323,23.0119,42.4948,43.4557,0.0802,0.2713,76.1178,31.7181,218.705,6.48,-0.01,20.9998,18.5647,86.8063,0.1483,0.2327,4.3498,0,27.4295,1.3667,-7.0625,0.1397,2.5176,MATANUSKA
3150.5,23.9163,23.5892,22.8292,21.2549,21.5218,47.048,46.4645,0.0795,0.2493,78.1005,30.6908,218.6915,6.48,-0.0085,23.2086,20.5238,86.8063,0.1484,0.2178,4.4293,0,28.0161,1.3698,-8,0.1535,2.5189,MATANUSKA
3150,22.7221,22.5992,22.1569,20.651,20.81,48.4238,48.0538,0.0671,0.2255,77.1347,28.5248,218.5438,6.4571,-0.0044,23.2299,20.5427,86.8063,0.1484,0.2061,4.4448,0,28.2815,1.3694,-7.75,0.1468,2.5392,MATANUSKA
3149.5,23.0455,23.8993,23.62,21.907,21.9992,45.6474,45.4561,0.0612,0.2178,76.6764,32.4035,218.1297,6.4113,-0.0038,22.169,19.6017,86.8063,0.1484,0.209,4.4167,0,30.2455,1.3741,-6.6875,0.1436,2.5491,MATANUSKA
3149,26.675,26.8286,26.5182,24.1597,24.4874,41.3913,40.8373,0.0485,0.2428,74.2527,33.9036,217.9993,6.3884,0.0003,29.9384,26.4946,86.8063,0.1485,0.1941,4.3741,0,36.0969,1.3677,-5.375,0.1268,2.5699,MATANUSKA
3148.5,31.9809,32.5974,32.9065,28.9385,29.0883,34.556,34.378,0.0543,0.2693,71.6805,35.0345,218.0939,6.3884,-0.0013,37.0653,32.824,86.8063,0.1485,0.2123,4.3321,0,27.7058,1.3645,-4.5,0.1089,2.5604,MATANUSKA
3148,36.6518,36.3786,36.9354,33.9337,33.7058,29.4692,29.6685,0.0648,0.283,69.7023,38.9576,218.1313,6.3884,-0.0037,12.8248,12.0582,86.8063,0.1485,0.2386,4.2885,0.0306,21.6592,1.3675,-1.1875,0.0952,2.543,MATANUSKA
3147.5,31.8574,31.0949,31.6605,29.1031,28.4261,34.3606,35.179,0.0765,0.2716,70.6181,37.2505,218.2474,6.4227,-0.0074,11.1759,11.0602,86.8063,0.1486,0.2617,4.2004,0.0835,16.4293,1.3723,-0.6875,0.1015,2.5238,MATANUSKA
3147,24.1115,22.9312,23.5732,22.7243,22.1584,44.0057,45.1297,0.0763,0.2648,71.5108,38.9066,218.2909,6.4571,-0.0089,12.5544,12.259,86.8063,0.1486,0.2761,4.1352,0.0399,23.0053,1.3651,1.1875,0.1077,2.5242,MATANUSKA
3146.5,18.7945,18.7152,19.0474,18.4679,17.4822,54.148,57.2011,0.0706,0.2675,71.5785,33.2326,217.9954,6.354,-0.0089,29.3582,25.9793,86.8063,0.1486,0.2076,4.1709,0.0194,25.6582,1.3716,-0.3125,0.1082,2.5335,MATANUSKA
3146,20.1967,20.1864,20.3209,20.0011,18.6483,49.9973,53.6241,0.0697,0.2658,72.7073,36.5446,217.8307,6.3197,-0.0082,22.6907,20.0644,86.8063,0.1487,0.1947,4.2931,0,30.8316,1.3633,-1,0.116,2.535,MATANUSKA
3145.5,22.2683,22.5573,22.2204,21.0052,21.1465,47.6072,47.2892,0.0658,0.2481,72.9995,34.4668,217.9525,6.3426,-0.0044,19.8856,17.5765,86.8063,0.1487,0.1931,4.3554,0,25.923,1.3633,-2.4375,0.1181,2.5414,MATANUSKA
3145,22.4851,23.6159,23.0274,21.3904,21.6045,46.7499,46.2866,0.0639,0.2332,73.6657,37.5534,218.133,6.3655,-0.0003,19.4561,17.1956,86.8063,0.1488,0.2115,4.3252,0,24.6176,1.359,-4.1875,0.1227,2.5446,MATANUSKA
3144.5,21.7015,22.2787,22.0982,20.0499,21.242,49.8755,47.0766,0.0614,0.2415,75.8423,35.8862,217.9198,6.4113,0.0023,19.6058,17.3283,86.8063,0.1488,0.2179,4.2864,0,22.9633,1.3617,-3.6875,0.1378,2.5486,MATANUSKA
3144,20.1706,21.0057,20.6151,18.3376,19.8815,54.5329,50.2981,0.0658,0.2774,78.3311,38.3779,218.0559,6.4571,0.0023,12.438,11.5732,86.8063,0.1488,0.2478,4.3663,0.0286,15.7974,1.361,-3.5625,0.1551,2.5414,MATANUSKA
3143.5,16.9355,17.7607,17.3757,16.2921,17.3823,61.3795,57.5297,0.0649,0.3115,81.4485,42.6203,218.0176,6.5602,0.0006,8.7416,8.199,86.8063,0.1489,0.2939,4.5777,0.0419,14.6365,1.3641,-3.5,0.1767,2.543,MATANUSKA
3143,14.6282,14.6637,14.5626,13.9809,14.8763,71.5259,67.2211,0.0769,0.3088,84.8174,43.2525,217.9678,6.5029,-0.002,10.4743,9.5589,86.8063,0.1489,0.2419,4.8457,0.0554,12.0001,1.3572,-3,0.2001,2.5231,MATANUSKA
