depth (ft),longitude,latitude
11610.7,-108.1948,41.38711
6252.8,-108.71393,42.03966
8805.9,-108.11634,41.48908
12801.3,-108.50341,41.24087
9796.1,-107.98731,41.25911
8264.2,-108.73168,42.15857
4786.9,-108.43368,41.59301
2117.1,-108.60211,41.66561
11866.2,-108.07728,41.08918
8380.9,-107.67648,41.73246
4169.5,-108.441,41.6739
8743.9,-107.63543,41.75888
5643.5,-108.37137,41.56757
8527.8,-107.92113,41.29766
4955.3,-108.36126,41.62186
10230.9,-108.01061,41.18656
10860,-108.01682,41.12918
10054.1,-108.00895,41.20162
3778.1,-107.62592,42.25598
10759.3,-108.05787,41.24143
10314.7,-108.00757,41.14549
10985,-108.03727,41.13059
8116.2,-107.92036,41.31987
11155,-108.01711,41.09395
6825.4,-107.98194,41.00944
2230.6,-108.59199,41.65889
12139.3,-108.12851,41.15153
3132.9,-108.53449,41.63291
8212.8,-107.98374,41.77343
6161.4,-108.41903,41.49499
6863.3,-108.3184,41.56775
2613,-108.5854,41.73566
7437.5,-108.04927,41.61955
9473.4,-107.9659,41.19441
,-108.30228,41.81769
10545,-108.04485,41.26202
2705.1,-108.58607,41.72882
8883.8,-107.87687,41.81034
9775.3,-107.98862,41.20337
8059.4,-108.23552,41.89702
8955.6,-108.36345,42.01584
10554.3,-108.4255,42.12868
7407.2,-107.98309,41.68529
5960.7,-108.33168,41.78881
10634,-108.09299,41.32183
8968.6,-108.39623,42.03359
9323.1,-108.38121,42.04479
10818,-108.12261,41.35563
10497.5,-108.03677,41.24939
11711.4,-108.54121,41.2776
7407.2,-108.00219,41.70817
2524,-108.57748,41.65843
11436.6,-108.15849,41.35566
9894.6,-107.99085,41.21656
11692.5,-108.06681,41.09266
10814.6,-108.09359,41.30385
8345,-108.32085,41.96346
10715.7,-108.06418,41.2761
9826.5,-107.99107,41.22521
13071.1,-108.19145,41.16739
10824.7,-108.1337,41.37802
11488.2,-108.14721,41.32715
12034.3,-108.14167,41.0735
7306.2,-107.93521,41.43943
,-108.21538,41.9047
9846.2,-107.97689,41.1605
9485.3,-108.36588,42.04648
9269,-108.37861,42.05082
5011.7,-108.36474,41.63051
4687.5,-108.40671,41.57533
8929.8,-108.3975,42.02631
7037.9,-108.12571,41.72796
12702.5,-107.74004,42.17694
7687.1,-107.99721,41.49369
7776.6,-108.00209,41.7419
6214,-108.61275,41.99342
13143.4,-108.17655,41.14374
9946.8,-108.29185,42.04915
7721.8,-108.61273,42.07165
5126.6,-108.494,41.87459
8933.8,-108.13556,41.48938
7553.3,-108.09032,41.7742
8303.9,-108.03216,41.81001
7473.3,-108.13116,41.77589
6924.9,-107.68836,42.25336
8482.8,-108.00275,41.80974
6599.4,-108.34341,41.85193
7825.9,-107.97284,41.71415
7996.9,-108.02994,41.48925
9747.1,-108.12087,41.97231
7104.7,-108.3075,41.87971
7502.9,-108.18682,41.7959
6800.5,-107.93373,41.48948
8813.6,-108.01198,41.83823
6808.9,-108.24455,41.77435
7054.5,-108.10641,41.70552
11671.7,-108.55045,41.2774
6777.8,-108.24472,41.75986
5545.1,-108.36965,41.76778
8372,-107.99419,41.79558
9799.7,-108.1086,41.96548
7351.2,-108.04061,41.64162
8519.4,-107.965,41.82472
7414.7,-108.03217,41.6135
7903,-107.98296,41.74203
7264.9,-108.04952,41.67719
7205.7,-108.05913,41.6772
8863.9,-108.01812,41.86366
7408.7,-108.058,41.69861
8924.5,-107.96444,41.86055
9447.2,-107.98083,41.90388
7915.9,-107.91762,41.69428
7265,-108.01167,41.66694
7379.8,-108.01167,41.66694
8883.8,-107.925,41.83917
8471.8,-107.96389,41.77333
9415.1,-107.96194,41.27056
5293.6,-108.34521,41.64847
8157.8,-108.07027,41.81011
10595.2,-108.00287,41.13155
