,APINO,Surface hole latitude (NAD83),Surface hole longitude (NAD83),Bottom hole latitude (NAD83),Bottom hole longitude (NAD83),Total vertical depth at bottom hole (ft),Number of frac stages,Total slurry (bbl),Total proppant (lb),Surface-to-bottom hole length (ft),Producing interval length (ft),Lateral azimuth (°),First 18 months oil (bbl),IP oil API gravity (°),Average gas-oil ratio (ft3/bbl),Calculated top of reservoir temperature (°F),API number,Company,Well type,WSGS reservoir
238,562855,43.61874,-105.63951,43.60018,-105.63959,11097.44,32.0,106871.0,7702960.0,6762.960772,6495.0,180.246963,86370.0,47.2,1207.021792,264.720642,236,8,1,1
239,562878,43.61784,-105.58257,43.60691,-105.58146,10596.3,19.0,92471.0,6494770.0,3993.500995,3524.0,174.201188,155171.0,47.2,1230.47619,216.20302862173915,237,8,1,1
240,562887,43.82438,-105.34276,43.81176,-105.34373,8631.36,21.0,85183.4538927739,6303440.0,4605.676319,4117.0,184.395234,141792.0,35.5,817.567568,216.20302862173915,238,15,1,1
241,562909,43.61923,-105.5655,43.60746,-105.55377,10482.0,25.0,185054.0,8474586.0,5295.028863,4415.0,135.097525,171486.0,47.8,2511.182109,216.20302862173915,239,8,1,1
242,562943,43.63606,-105.54578,43.64861,-105.54588,10276.0,20.0,76769.0,6177030.0,4573.054668,3876.0,359.54347,132496.0,46.4,1458.095238,214.837539,240,8,1,1
243,562952,43.6657,-105.80786,43.64985,-105.80755,11795.43,20.0,76246.0,4011441.0,5776.196127,3861.0,178.879531,97124.64019851117,58.4,1040.021064,216.20302862173915,241,19,1,0
244,563020,43.59125,-105.80976,43.603557,-105.80838,11938.41,27.0,124523.0,6071230.0,4499.393009,3976.0,6.397925,97124.64019851117,42.4,1636.871508,216.20302862173915,242,19,1,0
245,563112,43.57598,-105.56602,43.56325,-105.56915,10695.5,15.0,74697.0,3849370.0,4712.059631,3786.0,193.813634,97124.64019851117,48.0,2898.876404,216.20302862173915,243,9,1,1
246,563118,43.67871,-105.68964,43.69112,-105.68745,10869.7,17.0,81520.0,6826296.0,4558.993291,3624.0,10.00798,139704.0,39.2,380.301941,216.20302862173915,244,5,1,1
247,563177,43.57701,-105.60182,43.5633,-105.59955,10941.0,17.0,90257.0,6322090.0,5031.69247,4131.0,170.598681,101199.0,46.7,3768.269231,216.20302862173915,245,8,1,1
