,latitude,longitude,elevation,heart,time,slope,distance
147,44.414889,-111.363592,1917.4,162,2018-09-29 14:05:08+00:00,0.0,7.962411695200661e-05
148,44.414873,-111.363514,1917.4,162,2018-09-29 14:05:09+00:00,0.0,7.017834423201708e-05
149,44.414868,-111.363444,1917.4,161,2018-09-29 14:05:10+00:00,0.0,8.732124598128825e-05
150,44.414848,-111.363359,1917.4,161,2018-09-29 14:05:11+00:00,0.0,0.00010885311203607895
151,44.414828,-111.363252,1917.4,161,2018-09-29 14:05:12+00:00,0.0,0.00010324727599176007
152,44.414812,-111.36315,1917.4,161,2018-09-29 14:05:13+00:00,0.0,8.296987406000846e-05
153,44.41479,-111.36307,1917.4,161,2018-09-29 14:05:14+00:00,0.0,9.009439493082148e-05
154,44.414776,-111.362981,1917.4,161,2018-09-29 14:05:15+00:00,0.0,6.818357573388939e-05
155,44.414771,-111.362913,1917.4,161,2018-09-29 14:05:16+00:00,0.0,0.00011072488428890429
156,44.414739,-111.362807,1917.4,161,2018-09-29 14:05:17+00:00,0.0,7.640026177630353e-05
157,44.41472,-111.362733,1917.4,161,2018-09-29 14:05:18+00:00,0.0,0.00010806016842789745
158,44.414699,-111.362627,1917.4,161,2018-09-29 14:05:19+00:00,0.09999999999990905,9.570788891569551e-05
159,44.414681,-111.362533,1917.5,161,2018-09-29 14:05:20+00:00,0.0,9.305912098823372e-05
160,44.414667,-111.362441,1917.5,161,2018-09-29 14:05:21+00:00,0.0,7.864477096903262e-05
161,44.414651,-111.362364,1917.5,161,2018-09-29 14:05:22+00:00,0.0,0.00010100000000557875
162,44.414631,-111.362265,1917.5,161,2018-09-29 14:05:23+00:00,0.0,8.336066217710162e-05
163,44.414616,-111.362183,1917.5,161,2018-09-29 14:05:24+00:00,0.0,7.310950690600635e-05
164,44.41462,-111.36211,1917.5,161,2018-09-29 14:05:25+00:00,0.0,9.630160954679296e-05
165,44.414595,-111.362017,1917.5,161,2018-09-29 14:05:26+00:00,0.0,9.49210197937497e-05
166,44.414576,-111.361924,1917.5,161,2018-09-29 14:05:27+00:00,0.0,7.200000000295859e-05
167,44.414576,-111.361852,1917.5,161,2018-09-29 14:05:28+00:00,0.09999999999990905,8.60523096689311e-05
168,44.414579,-111.361766,1917.6,161,2018-09-29 14:05:29+00:00,0.0,0.0001234584950537597
169,44.414508,-111.361665,1917.6,161,2018-09-29 14:05:30+00:00,0.0,0.0001048093507287436
170,44.41448,-111.361564,1917.6,161,2018-09-29 14:05:31+00:00,0.0,9.730878685888973e-05
171,44.414443,-111.361474,1917.6,161,2018-09-29 14:05:32+00:00,0.0,0.0001383979768679866
172,44.414388,-111.361347,1917.6,161,2018-09-29 14:05:33+00:00,0.0,0.00015523530525862853
173,44.414315,-111.36121,1917.6,161,2018-09-29 14:05:34+00:00,0.0,0.00013708391589998747
174,44.414261,-111.361084,1917.6,161,2018-09-29 14:05:35+00:00,0.0,6.637017402768983e-05
175,44.414268,-111.361018,1917.6,161,2018-09-29 14:05:37+00:00,0.0,8.00624756093719e-05
176,44.414231,-111.360947,1917.6,161,2018-09-29 14:05:38+00:00,0.0,0.00011098198051106598
177,44.414172,-111.360853,1917.6,161,2018-09-29 14:05:39+00:00,0.0,7.854934754939232e-05
178,44.414131,-111.360786,1917.6,161,2018-09-29 14:05:40+00:00,0.0,5.3488316480920816e-05
179,44.414112,-111.360736,1917.6,161,2018-09-29 14:05:41+00:00,0.0,0.00010264989040172968
180,44.414036,-111.360667,1917.6,161,2018-09-29 14:05:42+00:00,0.0,3.534119410021542e-05
181,44.414021,-111.360635,1917.6,161,2018-09-29 14:05:43+00:00,0.0,7.009279562964839e-05
182,44.413974,-111.360583,1917.6,161,2018-09-29 14:05:44+00:00,0.10000000000013642,7.427651042732063e-05
183,44.413923,-111.360529,1917.7,161,2018-09-29 14:05:45+00:00,0.0,7.993122043266438e-05
184,44.413865,-111.360474,1917.7,161,2018-09-29 14:05:46+00:00,0.0,4.9578221025478646e-05
185,44.413828,-111.360441,1917.7,161,2018-09-29 14:05:47+00:00,0.0,7.200694410668006e-05
186,44.413771,-111.360397,1917.7,161,2018-09-29 14:05:49+00:00,0.0,4.743416489915709e-05
187,44.413732,-111.36037,1917.7,161,2018-09-29 14:05:50+00:00,0.0,6.684309987596916e-05
188,44.41368,-111.360328,1917.7,161,2018-09-29 14:05:51+00:00,0.0,7.920227268793855e-05
189,44.413617,-111.36028,1917.7,161,2018-09-29 14:05:52+00:00,0.0,6.010823571263767e-05
190,44.413575,-111.360237,1917.7,161,2018-09-29 14:05:53+00:00,0.0,6.45368111999557e-05
191,44.413526,-111.360195,1917.7,161,2018-09-29 14:05:54+00:00,0.0,6.420280367702483e-05
192,44.413475,-111.360156,1917.7,161,2018-09-29 14:05:55+00:00,0.0,6.360031446605003e-05
193,44.413424,-111.360118,1917.7,161,2018-09-29 14:05:56+00:00,-0.10000000000013642,6.420280367702483e-05
194,44.413373,-111.360079,1917.6,161,2018-09-29 14:05:57+00:00,0.0,7.262231062009147e-05
195,44.413316,-111.360034,1917.6,161,2018-09-29 14:05:58+00:00,-0.09999999999990905,8.462860037176011e-05
196,44.413247,-111.359985,1917.5,161,2018-09-29 14:05:59+00:00,-0.09999999999990905,4.440720661839579e-05
197,44.413211,-111.359959,1917.4,161,2018-09-29 14:06:00+00:00,-0.20000000000004547,8.130190649629904e-05
198,44.413142,-111.359916,1917.2,161,2018-09-29 14:06:01+00:00,-0.40000000000009095,9.415412895636222e-05
199,44.413061,-111.359868,1916.8,161,2018-09-29 14:06:02+00:00,-0.2999999999999545,9.126335519527464e-05
200,44.412986,-111.359816,1916.5,161,2018-09-29 14:06:03+00:00,-0.20000000000004547,6.212889826488364e-05
201,44.412934,-111.359782,1916.3,161,2018-09-29 14:06:04+00:00,-0.2999999999999545,7.267048919194243e-05
202,44.412874,-111.359741,1916.0,161,2018-09-29 14:06:05+00:00,-0.09999999999990905,8.414867794428813e-05
203,44.412814,-111.359682,1915.9,161,2018-09-29 14:06:06+00:00,-0.10000000000013642,7.200694410973905e-05
204,44.412757,-111.359638,1915.8,161,2018-09-29 14:06:07+00:00,0.0,6.30317380439604e-05
205,44.41271,-111.359596,1915.8,161,2018-09-29 14:06:08+00:00,0.0,7.710382609536607e-05
206,44.412646,-111.359553,1915.8,161,2018-09-29 14:06:09+00:00,0.0,7.981227976295437e-05
207,44.412583,-111.359504,1915.8,161,2018-09-29 14:06:10+00:00,0.0,7.80064099893665e-05
208,44.41252,-111.359458,1915.8,161,2018-09-29 14:06:11+00:00,0.0,6.841052550959029e-05
209,44.412466,-111.359416,1915.8,161,2018-09-29 14:06:12+00:00,0.0,4.74130783656012e-05
210,44.412424,-111.359394,1915.8,161,2018-09-29 14:06:13+00:00,0.0,7.186793443163908e-05
211,44.412363,-111.359356,1915.8,161,2018-09-29 14:06:14+00:00,0.0,6.40702739243742e-05
212,44.41231,-111.35932,1915.8,161,2018-09-29 14:06:15+00:00,0.0,9.080198235254507e-05
213,44.412237,-111.359266,1915.8,161,2018-09-29 14:06:16+00:00,0.0,6.389053138414052e-05
214,44.412188,-111.359225,1915.8,161,2018-09-29 14:06:17+00:00,0.0,6.403124237467862e-05
215,44.412138,-111.359185,1915.8,161,2018-09-29 14:06:18+00:00,0.0,7.220110801584977e-05
216,44.41208,-111.359142,1915.8,161,2018-09-29 14:06:19+00:00,0.0,6.78011799414835e-05
217,44.412026,-111.359101,1915.8,161,2018-09-29 14:06:20+00:00,0.0,9.720082303512064e-05
218,44.411948,-111.359043,1915.8,161,2018-09-29 14:06:21+00:00,0.0,0.00011166467659577273
219,44.411861,-111.358973,1915.8,161,2018-09-29 14:06:22+00:00,0.0,6.935416354322055e-05
220,44.41181,-111.358926,1915.8,161,2018-09-29 14:06:23+00:00,0.0,8.640023148186849e-05
221,44.411741,-111.358874,1915.8,161,2018-09-29 14:06:24+00:00,0.0,7.017834424021818e-05
222,44.411682,-111.358836,1915.8,161,2018-09-29 14:06:25+00:00,0.0,7.017834423738323e-05
223,44.411629,-111.35879,1915.8,161,2018-09-29 14:06:26+00:00,0.0,6.76239602476436e-05
224,44.411576,-111.358748,1915.8,161,2018-09-29 14:06:27+00:00,0.0,8.621484791335295e-05
225,44.411508,-111.358695,1915.8,161,2018-09-29 14:06:28+00:00,0.0,4.252058324919518e-05
226,44.411476,-111.358667,1915.8,161,2018-09-29 14:06:29+00:00,0.0,5.8249463517620076e-05
227,44.411428,-111.358634,1915.8,161,2018-09-29 14:06:30+00:00,0.0,5.700877125311027e-05
228,44.411383,-111.358599,1915.8,161,2018-09-29 14:06:31+00:00,0.0,0.00011520850662942828
229,44.41129,-111.358531,1915.8,161,2018-09-29 14:06:32+00:00,0.0,7.961155695390148e-05
230,44.411223,-111.358488,1915.8,161,2018-09-29 14:06:33+00:00,0.0,6.576473218455772e-05
231,44.411177,-111.358441,1915.8,161,2018-09-29 14:06:34+00:00,-0.09999999999990905,0.00010104454463045054
232,44.411098,-111.358378,1915.7,161,2018-09-29 14:06:35+00:00,-0.10000000000013642,4.313930921690809e-05
233,44.411067,-111.358348,1915.6,161,2018-09-29 14:06:36+00:00,-0.1999999999998181,6.296824597408898e-05
234,44.411014,-111.358314,1915.4,161,2018-09-29 14:06:37+00:00,-0.3000000000001819,6.381222453273936e-05
235,44.41096,-111.35828,1915.1,161,2018-09-29 14:06:38+00:00,-0.1999999999998181,4.669047011262106e-05
236,44.410926,-111.358248,1914.9,161,2018-09-29 14:06:39+00:00,-0.20000000000004547,4.75078940865659e-05
237,44.41089,-111.358217,1914.7,161,2018-09-29 14:06:40+00:00,-0.40000000000009095,7.468600940144252e-05
238,44.410823,-111.358184,1914.3,161,2018-09-29 14:06:41+00:00,-0.20000000000004547,5.685947589959712e-05
239,44.410776,-111.358152,1914.1,161,2018-09-29 14:06:42+00:00,-0.09999999999990905,4.295346319155273e-05
240,44.410734,-111.358143,1914.0,161,2018-09-29 14:06:43+00:00,-0.20000000000004547,7.170076708189093e-05
241,44.410688,-111.358088,1913.8,161,2018-09-29 14:06:44+00:00,0.0,6.438167440489663e-05
242,44.410641,-111.358044,1913.8,161,2018-09-29 14:06:45+00:00,-0.09999999999990905,7.998124780630287e-05
243,44.410582,-111.35799,1913.7,161,2018-09-29 14:06:46+00:00,0.0,7.742092740119605e-05
244,44.410519,-111.357945,1913.7,161,2018-09-29 14:06:47+00:00,0.0,7.77946013547009e-05
245,44.410465,-111.357889,1913.7,161,2018-09-29 14:06:48+00:00,0.0,7.874642849356314e-05
246,44.410405,-111.357838,1913.7,161,2018-09-29 14:06:49+00:00,0.0,6.200806399156833e-05
247,44.410356,-111.3578,1913.7,161,2018-09-29 14:06:50+00:00,0.0,5.841232746064254e-05
248,44.41031,-111.357764,1913.7,161,2018-09-29 14:06:51+00:00,0.0,6.684309987596916e-05
249,44.410258,-111.357722,1913.7,161,2018-09-29 14:06:52+00:00,0.0,5.9059292238120264e-05
250,44.410206,-111.357694,1913.7,161,2018-09-29 14:06:53+00:00,0.0,7.874642849356314e-05
251,44.410146,-111.357643,1913.7,161,2018-09-29 14:06:54+00:00,0.0,7.158910531210833e-05
