station,latitude,longitude,elevation,observed,theoretical,terrain,bouger,curv,special,freeair,complete_bouger
nd95,41.55816667,-107.9291667,6704,979657.07,980308.36,0.04,228.65,-1.52,0,-21.05,-251.18
nd9b,41.58166667,-107.9458333,6683,979661.51,980310.47,0,227.94,-1.52,0,-20.7,-250.17
nd97,41.60833333,-107.9578333,6679,979665.81,980312.86,0,-227.8,-1.52,0,-19.17,-248.51
nd98,41.63566667,-107.9613333,6708,979667.6,980315.32,0.08,228.79,-1.52,0,-17.11,-247.33
nd99,41.66133333,-107.9676667,6738,979669.6,980317.63,0.09,229.81,-1.52,0,-14.59,-245.83
ndlOO,41.52983333,-107.9425,6832,979644.63,980305.81,0.01,233.02,-1.52,0,-18.91,-253.44
ndlOl,41.51466667,-107.9673333,6737,979649.02,980304.45,0.08,229.78,-1.52,0,-22.09,-253.31
nd!02,41.4885,-108.0196667,6762,979644.49,980302.1,0.03,230.63,-1.52,0,-21.92,-254.04
nd!03,41.45666667,-108.04,6854,979634.17,980299.25,0.09,233.77,-1.52,0,-20.74,-255.93
nd!04,41.42733333,-108.0508333,6781,979635.11,980296.61,0,231.28,-1.52,0,-24.02,-256.82
ndlOS,41.41483333,-108.0621667,6854,979628.6,980295.48,0.11,233.77,-1.52,0,-22.56,-257.73
ndlOb,41.38833333,-108.0486667,6856,979625.68,980293.11,0.07,233.84,-1.52,0,-22.91,-258.19
nd!07,41.34,-108.0583333,6741,979629.03,980288.77,0,229.92,-1.52,0,-26.02,-257.49
nd!08,41.32966667,-108.0943333,6730,979628.3,980287.85,0,229.54,-1.52,0,-26.86,-257.97
nd!09,41.32166667,-108.1191667,6682,979631.12,980287.13,0,-227.9,-1.52,0,-27.84,-257.33
ndllO,41.31483333,-108.1501667,6649,979632.57,980286.52,0.06,226.78,-1.52,0,-28.87,-257.11
ndlll,41.33133333,-108.0255,6810,979624.61,980287.99,0.01,232.27,-1.52,0,-23.19,-256.97
ndl!2,41.30266667,-107.9788333,6786,979626.49,980285.43,0.35,231.45,-1.52,0,-20.98,-253.6
ndl!3,41.27883333,-107.9466667,6941,979616.1,980283.28,0.24,236.74,-1.52,0,-14.68,-252.69
ndl!4,41.28416667,-107.9148333,6732,979630.56,980283.77,0.63,229.61,-1.52,0,-20.33,-250.83
ndllS,41.29983333,-107.8703333,6596,979640.57,980285.17,0.08,-224.9,-1.52,0,-24.51,-250.91
ndl!6,41.29733333,-107.8195,6553,979644.61,980284.95,0.05,-223.5,-1.51,0,-24.28,-249.25
ndll?,41.30166667,-107.7741667,6523,979648.14,980285.34,0.07,-222.4,-1.51,0,-23.96,-247.89
ndl!8,41.628,-108.263,6996,979651.19,980314.63,0.41,-238.6,-1.52,0,-5.77,-245.49
ndl!9,41.60583333,-108.2545,7089,979641.24,980312.64,0.18,-241.7,-1.51,0,-4.99,-248.11
nd!20,41.57866667,-108.2625,7063,979639.55,980310.2,0.23,-240.9,-1.51,0,-6.69,-248.87
nd!21,41.55733333,-108.2673333,7419,979614.3,980308.28,0.54,-253,-1.5,0,3.43,-250.57
nd!22,41.5335,-108.238,7199,979624.65,980306.14,0.2,-245.5,-1.51,0,-4.74,-251.59
nd!23,41.5185,-108.2111667,7071,979630.29,980304.8,0.11,-241.1,-1.51,0,-9.79,-252.36
nd!24,41.49433333,-108.1985,6998,979631.15,980302.63,0.08,-238.6,-1.52,0,-13.61,-253.73
nd!25,41.49016667,-108.1601667,6960,979632.48,980302.26,0.13,-237.3,-1.52,0,-15.48,-254.25
nd!26,41.48033333,-108.0898333,6994,979629.37,980301.37,0.4,-238.5,-1.52,0,-14.51,-254.17
ndl27,41.45316667,-108.0918333,6857,979633.58,980298.94,0.05,-233.8,-1.52,0,-20.74,-256.07
nd!28,41.434,-108.088,6854,979631.2,980297.21,0.02,-233.7,-1.52,0,-21.67,-256.94
nal29,41.4155,-108.1153333,7021,979617.75,980295.55,0.12,-239.4,-1.52,0,-17.77,-258.63
ndUO,41.43266667,-108.1636667,7052,979618.17,980297.09,0.23,-240.5,-1.51,0,-15.98,-257.79
nd!3l,41.44133333,-108.2155,7072,979618.9,980297.87,0.13,-241.2,-1.51,0,-14.15,-256.74
nd!32,41.438,-108.242,7043,979620.87,980297.57,0.18,-240.2,-1.52,0,-14.61,-256.16
nd!33,41.44333333,-108.3078333,6966,979629.96,980298.05,0.08,-237.5,-1.52,0,-13.23,-252.25
nd!34,41.41983333,-108.3715,6936,979631.8,980295.94,0.3,-236.5,-1.52,0,-12.1,-249.88
nd!35,41.40633333,-108.4068333,6990,979628.11,980294.73,0.84,-238.4,-1.52,0,-9.5,-248.59
nd!36,41.3795,-108.3756667,6935,979625.61,980292.32,0.08,-236.5,-1.52,0,-14.76,-252.73
ndl37,41.35633333,-108.37,6986,979618.96,980290.23,0.06,-238.2,-1.52,0,-14.54,-254.27
nd!38,41.33316667,-108.3886667,7021,979614.19,980288.16,0.12,-239.4,-1.52,0,-13.95,-254.81
nd!39,41.3365,-108.3365,7094,979611.27,980288.46,0.55,-241.9,-1.51,0,-10.3,-253.22
nd!40,41.32683333,-108.4468333,7194,979604.44,980287.59,1.35,-245.3,-1.51,0,-6.87,-252.4
